time,strategic_objective_value
1733408362,197327767202
1733408362,197163082422
1733408363,196989285322
1733408363,196826026532
1733408363,196765673544
1733408363,196725966334
1733408363,196610797014
1733408364,196558877004
1733408364,196511593024
1733408364,196437061334
1733408364,196418800212
1733408364,196279270732
1733408365,196261134972
1733408365,196168471512
1733408365,196115244912
1733408365,196080198192
1733408365,195988190102
1733408366,195746519378
1733408366,195712148868
1733408366,195628205348
1733408366,195549217540
1733408366,195539956690
1733408366,195446111370
1733408367,195443294060
1733408367,195331229490
1733408367,195202265706
1733408368,195075416216
1733408368,195018728512
1733408368,195017333652
1733408368,194989119692
1733408369,194885772942
1733408369,194879396952
1733408369,194790819242
1733408369,194736147936
1733408370,194678656736
1733408370,194676766976
1733408371,194658669576
1733408371,194522203936
1733408371,194517116706
1733408372,194503826106
1733408372,194440481590
1733408372,194434550950
1733408373,194355606340
1733408373,194335655280
1733408373,194303793060
1733408374,194296837580
1733408374,194294220120
1733408374,194269180230
1733408375,194253797834
1733408375,194173501824
1733408376,194160094674
1733408376,194139010674
1733408377,194103905044
1733408377,194069755304
1733408377,194040782644
1733408378,194037561314
1733408379,194032767124
1733408379,194019253904
1733408379,194018662044
1733408379,193998375074
1733408379,193996478084
1733408381,193985272814
1733408381,193973150904
1733408381,193963948784
1733408381,193938038004
1733408383,193898755480
1733408383,193893368160
1733408384,193870734700
1733408385,193857169460
1733408386,193851185624
1733408387,193835841474
1733408387,193817053274
1733408388,193759045154
1733408390,193699123094
1733408392,193672324064
1733408392,193653918134
1733408395,193621533284
1733408396,193596500934
1733408397,193575267474
1733408398,193563502854
1733408398,193562682874
1733408400,193527914292
1733408401,193525506682
1733408401,193493477912
1733408402,193478392190
1733408403,193444756790
1733408404,193422092160
1733408405,193409433350
1733408405,193401743220
1733408405,193400934240
1733408406,193381407470
1733408406,193354078750
1733408407,193348056650
1733408407,193330017970
1733408408,193319313232
1733408409,193314018852
1733408411,193298307272
1733408411,193294913724
1733408412,193267424350
1733408413,193236134982
1733408413,193194011612
1733408413,193191672798
1733408414,193173878652
1733408415,193173693412
1733408418,193171687322
1733408420,193157954862
1733408421,198664726174
1733408421,196109722292
1733408421,196021461652
1733408422,195999759442
1733408422,195889538010
1733408422,195774344640
1733408422,195348063730
1733408422,195277068270
1733408423,195181135970
1733408423,195073646310
1733408424,194945194020
1733408424,194837260380
1733408424,194713011450
1733408424,194676691060
1733408426,194631010550
1733408426,194625735430
1733408427,194597387850
1733408427,194532767330
1733408427,194489527710
1733408428,194344022480
1733408431,194273059640
1733408431,194103517110
1733408432,194067576708
1733408432,193995719988
1733408433,193938772444
1733408433,193901127644
1733408434,193736558994
1733408434,193667907414
1733408435,193648637604
1733408435,193642546304
1733408436,193598014374
1733408436,193519307724
1733408436,193506806614
1733408437,193472806874
1733408437,193430658344
1733408438,193259917694
1733408438,193106671898
1733408439,193106445256
1733408441,193087302906
1733408441,193055118846
1733408442,193049378626
1733408442,193022285966
1733408445,193013557126
1733408445,192972426896
1733408445,192903595536
1733408446,192891409982
1733408446,192827924582
1733408446,192772122182
1733408446,192763971142
1733408446,192743678722
1733408447,192736792112
1733408448,192712634742
1733408448,192697481902
1733408449,192654393352
1733408450,192614672292
1733408451,192603405402
1733408452,192488146302
1733408454,192453102992
1733408454,192401125592
1733408454,192373074792
1733408455,192356623652
1733408455,192342767150
1733408458,192265599830
1733408459,192246966470
1733408459,192238551394
1733408462,192228292634
1733408462,192195991414
1733408463,192187378384
1733408463,192184830136
1733408465,192159152966
1733408465,192128830498
1733408469,192122214980
1733408469,192118011200
1733408470,192114966720
1733408470,192112219010
1733408473,192105905180
1733408473,192104204640
1733408474,192095944080
1733408478,192081535620
1733408478,192047642840
1733408479,192044602174
1733408480,192041914774
1733408481,195803715526
1733408482,193741387234
1733408482,193676145814
1733408482,193530226960
1733408483,193346810920
1733408483,193096600480
1733408483,192988658130
1733408483,192874212440
1733408484,192868323520
1733408485,192777286798
1733408485,192579676408
1733408486,192531970450
1733408486,192490495090
1733408486,192421091510
1733408487,192390287170
1733408487,192274883310
1733408487,192266740110
1733408488,192256139620
1733408489,192160363370
1733408489,192132743010
1733408491,191903445770
1733408491,191831407550
1733408492,191819746790
1733408492,191794835250
1733408493,191762624990
1733408493,191734241840
1733408493,191712972280
1733408494,191679367890
1733408494,191669474840
1733408494,191624180430
1733408495,191561759290
1733408495,191522551458
1733408495,191469963578
1733408496,191396218998
1733408497,191382328308
1733408497,191348852838
1733408497,191329180168
1733408497,191316646324
1733408498,191300873494
1733408498,191299610564
1733408498,191284036914
1733408499,191247005304
1733408500,191238974454
1733408501,191208076614
1733408503,191162206174
1733408504,191138433056
1733408504,191137647956
1733408505,191115376586
1733408507,191108439496
1733408507,191098869206
1733408507,190950457956
1733408508,190918258906
1733408508,190911239836
1733408509,190893483126
1733408511,190822576336
1733408512,190798075378
1733408516,190784333880
1733408518,190780483250
1733408526,190759231300
1733408527,190748572040
1733408527,190745369390
1733408535,190717576270
1733408540,190703330310
1733408542,194306502892
1733408542,192588011200
1733408542,192493992310
1733408542,192406194480
1733408543,192396035260
1733408543,192336575900
1733408543,192329145560
1733408543,192246065850
1733408544,191975697380
1733408545,191930669590
1733408546,191735185930
1733408546,191714813350
1733408546,191476496050
1733408547,191426757600
1733408548,191405811040
1733408548,191283420350
1733408550,191280276200
1733408550,191269713860
1733408550,191253249500
1733408551,191243619556
1733408552,191141013066
1733408553,191118222136
1733408553,191047932326
1733408554,191031093028
1733408555,190977732928
1733408555,190943367888
1733408555,190925278728
1733408555,190922820288
1733408556,190915861118
1733408556,190827990308
1733408558,190809463934
1733408559,190798465364
1733408560,190795541924
1733408561,190795116424
1733408561,190661335144
1733408563,190652692064
1733408563,190647985114
1733408563,190643824664
1733408564,190634090784
1733408565,190600646044
1733408566,190579624676
1733408567,190401247306
1733408568,190368556936
1733408569,190348398386
1733408571,190243510486
1733408572,190241131246
1733408573,190205840306
1733408573,190188441696
1733408574,190158285760
1733408574,190146071012
1733408574,190129913442
1733408576,190118851772
1733408576,190082921362
1733408578,190082156462
1733408578,190045657088
1733408581,190026400028
1733408582,190023901218
1733408582,189992564638
1733408583,189990177638
1733408583,189975929258
1733408588,189961279048
1733408593,189954477798
1733408596,189944278608
1733408598,189934112588
1733408598,189900748444
1733408600,189883597364
1733408602,193267361700
1733408603,191771187744
1733408603,191555678994
1733408603,191447460174
1733408605,191373658824
1733408606,191373445154
1733408606,191305731524
1733408606,191267049324
1733408607,191236355234
1733408607,191186222974
1733408608,191144832802
1733408608,191143793184
1733408609,191090865954
1733408611,190989833374
1733408612,190984475344
1733408612,190979826854
1733408613,190951322804
1733408613,190915085514
1733408613,190893634084
1733408614,190886320704
1733408614,190855744754
1733408616,190842905284
1733408617,190805834044
1733408618,190788162074
1733408618,190777028074
1733408619,190728115260
1733408619,190661259504
1733408620,190647921874
1733408620,190620062934
1733408622,190600998844
1733408623,190585651996
1733408625,190542415596
1733408625,190538210636
1733408626,190517522286
1733408629,190455363966
1733408629,190451880226
1733408632,190267398526
1733408632,190263503066
1733408633,190243549966
1733408634,190181348736
1733408634,189950279596
1733408635,189944288376
1733408635,189925066876
1733408636,189923675066
1733408640,189909944646
1733408642,189890779996
1733408643,189866083666
1733408644,189863470346
1733408645,189860847036
1733408645,189859176076
1733408646,189844550568
1733408646,189843452818
1733408647,189836094818
1733408649,189836051038
1733408651,189827695868
1733408652,189788033438
1733408654,189784014298
1733408655,189777389808
1733408656,189773638678
1733408657,189744242408
1733408657,189743904008
1733408658,189735169478
1733408658,189733028068
1733408659,189723398648
1733408661,189709258228
1733408662,192945280074
1733408662,192080080728
1733408662,191997509702
1733408663,191991774642
1733408663,191801837752
1733408663,191783389486
1733408664,191749566260
1733408664,191745760240
1733408665,191702969724
1733408665,191699063154
1733408665,191698444884
1733408666,191667798934
1733408667,191661933634
1733408667,191654059384
1733408667,191648849514
1733408668,191524836588
1733408668,191440773138
1733408668,191433152252
1733408669,191323968692
1733408670,191260278032
1733408671,191230139752
1733408671,191222013952
1733408672,191098192922
1733408673,191095189722
1733408674,191074517262
1733408675,191063430212
1733408675,191055803202
1733408676,191051535102
1733408677,191021168518
1733408677,191014646548
1733408678,191008204948
1733408679,191003843928
1733408681,190893466028
1733408682,190869394998
1733408683,190857777038
1733408685,190830024218
1733408686,190805496578
1733408688,190776737998
1733408689,190741324562
1733408690,190723835922
1733408691,190717902752
1733408692,190713864142
